build_year,facades,garden,living_area,locality_name,number_rooms,postal_code,price,property_id,property_type,property_url,state,swimming_pool,terrace,province,property_type_name,state_mapped
,2.0,1,,Flémalle,3,4400.0,275000.0,vbd49049,Apartment,https://immovlan.be/en/detail/apartment/for-sale/4400/flemalle/vbd49049,Normal,0,1,Liège,apartment,ready_to_move_in
,4.0,0,123.0,Wellen,2,3830.0,,RBU66058,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3830/wellen/rbu66058,New,0,1,Limburg,apartment,ready_to_move_in
1997,,0,255,Dilbeek,5,1700.0,,rbu49312,Residence,https://immovlan.be/en/detail/residence/for-sale/1700/dilbeek/rbu49312,Normal,0,0,Flemish Brabant,house,ready_to_move_in
2023,,0,216,Hasselt,3,3500.0,1195000.0,rbu40968,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3500/hasselt/rbu40968,,0,1,Limburg,apartment,
1948,,1,273,Daverdisse,5,6929.0,249999.0,vbd43179,Residence,https://immovlan.be/en/detail/residence/for-sale/6929/daverdisse/vbd43179,To be renovated,0,0,Luxembourg,house,to_renovate
1970,3.0,1,149,Beringen,3,3580.0,229000.0,rbu47819,Residence,https://immovlan.be/en/detail/residence/for-sale/3580/beringen/rbu47819,Normal,0,1,Limburg,house,ready_to_move_in
,2.0,0,92.0,Geel,2,2440.0,293800.0,RBU51381,Apartment,https://immovlan.be/en/detail/apartment/for-sale/2440/geel/rbu51381,New,0,1,Antwerp,apartment,ready_to_move_in
,4.0,1,106.0,Ukkel,3,1180.0,533000.0,VBD43612,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd43612,New,0,1,Brussels Capital Region,apartment,ready_to_move_in
,,1,98.0,Ans,2,4430.0,287800.0,VAZ50056,Ground,https://immovlan.be/en/detail/ground-floor/for-sale/4430/ans/vaz50056,New,0,1,Liège,apartment,ready_to_move_in
2007,4.0,0,126,Brussels,2,1000.0,620000.0,vbd46291,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd46291,Excellent,0,1,Brussels Capital Region,apartment,ready_to_move_in
