number_rooms,living_area,property_house,state_ready,postal_code_target,price_log
3.0,116.0,0,1,12.499900131023233,12.821260987319455
2.0,84.0,0,1,12.760998554786307,12.487488878546143
2.0,81.0,0,1,12.735744807891523,12.919637460309197
2.0,102.0,0,1,12.716528237484212,13.102162710901052
2.0,84.0,0,1,12.499900131023233,12.429220196836384
4.0,180.0,1,0,12.642305952645225,12.765691290604371
4.0,228.0,1,1,12.812033197934422,13.017005083966255
2.0,93.0,0,1,12.902758437781515,12.83468397161566
3.0,131.0,0,1,13.411281824237573,13.68198030819624
3.0,188.0,1,0,12.281939468979944,12.128116509451258
2.0,85.0,1,1,12.04355959836804,12.04355959836804
2.0,118.0,0,1,12.275061152048025,12.512089356545026
2.0,113.0,0,1,12.76190336069807,12.6410997921206
2.0,91.0,0,1,12.387462901644376,11.695255355062796
3.0,171.0,1,1,12.834937302855689,13.014780393893403
2.0,119.0,0,1,13.518301977246622,13.527829818844936
3.0,202.0,1,1,12.746472802152937,13.215855541983634
1.0,78.0,0,1,12.560193588678985,12.429220196836384
8.0,482.0,1,1,13.019625076160596,13.997832948091215
6.0,258.0,1,1,13.179346592092397,14.096923772119156
1.0,73.0,0,1,12.567405022900846,12.461695003564945
2.0,97.0,0,1,12.574409482217122,12.580947953434332
3.0,140.0,1,0,12.48702617904154,11.982935344196433
3.0,167.0,0,1,12.915288612448368,13.468787359304866
2.0,108.0,0,1,12.709723722427672,12.83468397161566
1.0,91.0,0,0,12.900865526029898,12.83468397161566
3.0,168.0,0,1,12.717513833403046,13.296318365198625
4.0,290.0,1,1,12.614513311144934,12.896719202134523
2.0,93.0,0,1,12.254811918684345,12.095146671399466
3.0,150.0,1,1,12.754072530543583,12.54254845357358
2.0,90.0,0,1,12.907505582889456,12.660331092405906
2.0,110.0,0,1,13.411281824237573,13.384729180332174
3.0,104.0,0,1,12.815729417173989,12.793862088206213
1.0,54.0,0,1,12.53294292988217,12.296831574998258
1.0,42.0,0,1,12.401072267698389,11.767575435251748
3.0,180.0,0,1,12.834937302855689,13.507627138738266
3.0,178.0,1,1,12.729115664486738,12.59473402514672
1.0,66.0,0,1,12.560193588678985,12.323860125621126
1.0,100.0,1,1,13.070083546379673,12.886643575525625
2.0,129.0,0,1,13.119189876399721,13.36452650441178
3.0,134.0,0,1,12.675463646026023,12.890938127295817
5.0,170.0,1,1,12.48702617904154,13.060490101343552
2.0,110.0,0,1,13.411281824237573,13.384729180332174
3.0,236.0,0,1,13.369330144095796,13.704580114574805
1.0,48.0,0,1,12.84627135005989,12.456835254920373
1.0,131.0,1,0,13.020811248925067,12.296831574998258
2.0,103.0,0,1,12.373862929791386,12.472279517715116
