number_rooms,living_area,price_log
1.0,56.0,12.936036208848488
2.0,67.0,12.07254696717504
6.0,330.0,13.560619598657231
1.0,64.0,12.07254696717504
2.0,91.0,12.805082208565873
3.0,135.0,12.296831574998258
2.0,81.0,12.319405795112926
6.0,477.0,13.647093089770562
1.0,80.0,12.296831574998258
4.0,214.0,13.120363378739665
4.0,127.0,12.644330802262578
3.0,196.0,12.969214528909768
4.0,198.0,13.384729180332174
3.0,192.0,13.527829818844936
2.0,81.0,12.449022745701502
2.0,116.0,13.107251770049071
3.0,178.0,13.774689605110144
3.0,182.0,13.291430818519869
2.0,79.0,12.462035696646364
3.0,120.0,12.706850963741102
2.0,86.0,12.703816069256568
4.0,203.0,12.505810504075184
1.0,62.0,11.461642696843066
3.0,163.0,13.361381852676738
3.0,117.0,12.873904582205109
1.0,70.0,12.413090879946887
1.0,61.0,12.386408899580813
7.0,350.0,13.527829818844936
3.0,166.0,12.872667923591017
4.0,116.0,12.468440756144114
1.0,75.0,12.417147664184917
4.0,114.0,12.449022745701502
2.0,81.0,12.608202196848836
2.0,108.0,12.502470376049184
4.0,227.0,13.81049902116535
3.0,152.0,12.319405795112926
4.0,189.0,12.992256969959042
2.0,120.0,13.171155446333852
2.0,71.0,12.201065128819632
2.0,89.0,12.013706813470414
3.0,138.0,13.112315061750808
2.0,99.0,12.476103599529845
4.0,194.0,13.303018546545276
4.0,165.0,12.861001210669146
3.0,122.0,12.87774334868815
1.0,90.0,12.574185427296197
3.0,181.0,12.660331092405906
5.0,212.0,12.703816069256568
1.0,70.0,12.337105293891872
2.0,128.0,12.819388970974243
2.0,94.0,12.57729476436913
2.0,110.0,11.002116507732016
6.0,150.0,12.83468397161566
4.0,170.0,12.762830066509972
3.0,195.0,12.861001210669146
3.0,130.0,12.425212191503038
2.0,101.0,12.765691290604371
4.0,167.0,13.70903942580019
2.0,98.0,12.629708330910852
2.0,91.0,12.660331092405906
2.0,88.0,12.54254845357358
2.0,120.0,12.926350926565435
3.0,132.0,13.507627138738266
4.0,256.0,13.296318365198625
3.0,157.0,12.691583538230216
2.0,92.0,12.355358654868867
3.0,121.0,13.120363378739665
1.0,77.0,12.418725359944135
3.0,105.0,12.77841002690302
3.0,179.0,13.005831808336865
1.0,60.0,12.691583538230216
2.0,150.0,13.058360179622303
3.0,139.0,13.214032390746006
4.0,192.0,12.128116509451258
3.0,316.0,11.51293546492023
5.0,310.0,13.07107218827772
3.0,187.0,12.75130259456002
1.0,52.0,12.506180941677355
4.0,206.0,12.296831574998258
3.0,142.0,12.868763195921677
2.0,156.0,12.733758336210744
2.0,170.0,13.377007146164305
1.0,72.0,12.34148164933907
4.0,190.0,13.178934618892328
1.0,63.0,12.230770136157428
2.0,89.0,12.597002628660514
1.0,50.0,12.19602736016897
1.0,69.0,12.180759965737863
2.0,108.0,12.793862088206213
1.0,74.0,12.34148164933907
2.0,120.0,12.889172015485954
4.0,190.0,13.671641342278315
3.0,150.0,12.367345048436391
3.0,165.0,12.896719202134523
3.0,148.0,13.38318953651709
3.0,168.0,12.974320341224336
4.0,148.0,12.409017571151187
3.0,162.0,13.100119813444692
1.0,42.0,11.775297421715829
3.0,175.0,13.623139877437296
3.0,126.0,12.910409487665516
2.0,102.0,12.969214528909768
1.0,50.0,12.278397958261774
3.0,121.0,12.773010135696332
5.0,324.0,13.190023895035274
5.0,231.0,12.611541086966117
2.0,116.0,12.650094785065155
4.0,200.0,12.894209796826232
3.0,118.0,12.278397958261774
3.0,150.0,13.122365377402328
5.0,174.0,13.26212705890841
2.0,68.0,12.180759965737863
3.0,166.0,13.083520672796814
4.0,150.0,12.819908725726677
4.0,200.0,12.425212191503038
3.0,98.0,12.77138929548529
4.0,212.0,12.59473402514672
4.0,198.0,13.199326270390594
2.0,123.0,12.608202196848836
3.0,145.0,12.762830066509972
2.0,86.0,11.918397239722838
1.0,70.0,12.301387370778713
2.0,84.0,12.886643575525625
2.0,94.0,12.500609917318906
2.0,96.0,12.837347081942964
2.0,60.0,11.599112335481124
2.0,115.0,11.884495917930655
3.0,180.0,12.765691290604371
3.0,143.0,12.847402710321576
1.0,153.0,12.358798024384122
3.0,186.0,13.1421679654829
3.0,170.0,12.608202196848836
3.0,218.0,12.608202196848836
3.0,263.0,12.666660207428574
3.0,103.0,12.83468397161566
2.0,82.0,12.409017571151187
3.0,225.0,13.081543466215235
2.0,91.0,12.886643575525625
3.0,140.0,12.600143080224452
2.0,113.0,12.659695972140415
2.0,105.0,12.608202196848836
2.0,105.0,12.429220196836384
2.0,79.0,12.487488878546143
3.0,157.0,12.948012371209098
3.0,158.0,13.100119813444692
3.0,133.0,12.384223015005311
3.0,172.0,12.871337193291367
1.0,62.0,12.278397958261774
3.0,141.0,12.660331092405906
1.0,63.0,12.36308066783498
3.0,114.0,12.918779776883914
3.0,166.0,12.886643575525625
4.0,205.0,12.611541086966117
4.0,220.0,13.451668563394817
2.0,92.0,12.691675841378435
2.0,86.0,13.989464705423494
2.0,91.0,12.429220196836384
2.0,101.0,12.821260987319455
4.0,297.0,13.118357364036902
2.0,77.0,12.296831574998258
3.0,159.0,12.971542813248435
2.0,121.0,12.53897064502647
1.0,72.0,12.718899265966332
3.0,128.0,13.060490101343552
4.0,223.0,13.171155446333852
2.0,85.0,12.206077645517674
3.0,131.0,12.388394202324127
3.0,257.0,13.28787951079572
3.0,190.0,12.793862088206213
3.0,234.0,13.215855541983634
2.0,95.0,11.289794413577894
4.0,199.0,13.556741124342862
5.0,200.0,14.058849600569967
4.0,150.0,12.83468397161566
3.0,130.0,12.966880811009805
3.0,296.0,12.871337193291367
2.0,100.0,13.15192412139156
2.0,100.0,12.425212191503038
2.0,106.0,12.323860125621126
3.0,186.0,13.060490101343552
3.0,205.0,13.112315061750808
2.0,98.0,12.73670383776449
1.0,75.0,12.409017571151187
6.0,250.0,13.81049902116535
3.0,167.0,12.560247968016562
2.0,91.0,12.676079399771028
5.0,308.0,13.845070331079134
3.0,139.0,13.197279737010565
4.0,250.0,13.451668563394817
2.0,90.0,12.468440756144114
5.0,328.0,13.28787951079572
3.0,150.0,13.51427167244672
4.0,226.0,11.951186847493476
3.0,115.0,13.04115549117383
3.0,123.0,12.128116509451258
2.0,112.0,12.278397958261774
3.0,230.0,12.894209796826232
2.0,117.0,12.77138929548529
1.0,55.0,12.128116509451258
2.0,83.0,12.871337193291367
2.0,95.0,13.384729180332174
2.0,90.0,12.59133844767558
2.0,97.0,13.081543466215235
2.0,97.0,12.367345048436391
8.0,485.0,14.07402202531625
3.0,124.0,12.762830066509972
3.0,226.0,13.199326270390594
4.0,220.0,12.524530013005734
2.0,81.0,12.201065128819632
4.0,169.0,13.014780393893403
2.0,92.0,12.487488878546143
3.0,163.0,13.170964952363365
4.0,182.0,12.994532278619134
3.0,296.0,13.377007146164305
4.0,208.0,12.84265212010087
3.0,150.0,12.628070334272698
1.0,100.0,12.896719202134523
1.0,68.0,12.128116509451258
1.0,43.0,12.429220196836384
3.0,153.0,12.25486757159303
1.0,98.0,12.703816069256568
4.0,140.0,12.936036208848488
3.0,168.0,12.963859904570567
2.0,103.0,12.750136701156492
3.0,155.0,12.323860125621126
3.0,141.0,12.840236512839558
2.0,108.0,12.703816069256568
3.0,188.0,12.896719202134523
3.0,203.0,13.088808662125674
1.0,66.0,12.323860125621126
3.0,115.0,13.017005083966255
2.0,94.0,13.25339339419516
1.0,52.0,12.676079399771028
3.0,115.0,12.577639650232571
3.0,153.0,12.464587201678082
4.0,258.0,12.502470376049184
3.0,200.0,13.704580114574805
2.0,120.0,12.593037677653752
